,method_name,algo,score,split
0,Original,LDA,0.8789473684210526,0
1,Original,LDA,0.9157894736842105,1
2,Original,LDA,0.8929824561403509,2
3,Original,LDA,0.8771929824561403,3
4,Original,LDA,0.8964912280701754,4
5,Original,LDA,0.9035087719298246,5
6,Original,LDA,0.8798245614035087,6
7,Original,LDA,0.862280701754386,7
8,Original,LDA,0.8649122807017544,8
9,Original,LDA,0.881578947368421,9
10,Original,RF,0.7771929824561403,0
11,Original,RF,0.787719298245614,1
12,Original,RF,0.762280701754386,2
13,Original,RF,0.7605263157894737,3
14,Original,RF,0.793859649122807,4
15,Original,RF,0.7824561403508772,5
16,Original,RF,0.7508771929824561,6
17,Original,RF,0.7175438596491228,7
18,Original,RF,0.737719298245614,8
19,Original,RF,0.75,9
