,method_name,algo,score,split
0,Original,LDA,0.9174641148325359,0
1,Original,LDA,0.8899521531100478,1
2,Original,LDA,0.8983253588516746,2
3,Original,LDA,0.8779904306220095,3
4,Original,LDA,0.8755980861244019,4
5,Original,LDA,0.8744019138755981,5
6,Original,LDA,0.895933014354067,6
7,Original,LDA,0.9007177033492823,7
8,Original,LDA,0.8947368421052632,8
9,Original,LDA,0.8983253588516746,9
10,Original,RF,0.8696172248803827,0
11,Original,RF,0.861244019138756,1
12,Original,RF,0.8576555023923444,2
13,Original,RF,0.8624401913875598,3
14,Original,RF,0.8504784688995215,4
15,Original,RF,0.8480861244019139,5
16,Original,RF,0.8696172248803827,6
17,Original,RF,0.8923444976076556,7
18,Original,RF,0.8564593301435407,8
19,Original,RF,0.8660287081339713,9
