,method_name,algo,score,split
0,Original,LDA,0.5881188118811881,0
1,Original,LDA,0.5841584158415841,1
2,Original,LDA,0.5897029702970297,2
3,Original,LDA,0.5778217821782178,3
4,Original,LDA,0.5695049504950495,4
5,Original,LDA,0.5817821782178217,5
6,Original,LDA,0.5924752475247524,6
7,Original,LDA,0.6091089108910891,7
8,Original,LDA,0.596039603960396,8
9,Original,LDA,0.5825742574257425,9
10,Original,RF,0.5477227722772278,0
11,Original,RF,0.5271287128712872,1
12,Original,RF,0.5184158415841584,2
13,Original,RF,0.5322772277227723,3
14,Original,RF,0.5334653465346535,4
15,Original,RF,0.540990099009901,5
16,Original,RF,0.5330693069306931,6
17,Original,RF,0.5283168316831683,7
18,Original,RF,0.5188118811881188,8
19,Original,RF,0.5314851485148515,9
