,method_name,algo,score,split
0,CondICA,LDA,0.8898380721662629,0
1,CondICA,LDA,0.8906668366696417,1
2,CondICA,LDA,0.8893280632411067,2
3,CondICA,LDA,0.8932168812954226,3
4,CondICA,LDA,0.8948106591865358,4
5,CondICA,LDA,0.8937906413362234,5
6,CondICA,LDA,0.8914956011730205,6
7,CondICA,LDA,0.8890093076628841,7
8,CondICA,LDA,0.8970419482340941,8
9,CondICA,LDA,0.8948106591865358,9
10,CondICA,RF,0.7504781333673339,0
11,CondICA,RF,0.7475455820476858,1
12,CondICA,RF,0.7443580262654597,2
13,CondICA,RF,0.7481193420884865,3
14,CondICA,RF,0.7461430575035063,4
15,CondICA,RF,0.7483105954354201,5
16,CondICA,RF,0.7496493688639552,6
17,CondICA,RF,0.7457605508096392,7
18,CondICA,RF,0.7403417059798546,8
19,CondICA,RF,0.7459518041565727,9
