,method_name,algo,score,split
0,CondICA,LDA,0.6372215930539826,0
1,CondICA,LDA,0.6070656092285508,1
2,CondICA,LDA,0.6083650190114068,2
3,CondICA,LDA,0.6146044624746451,3
4,CondICA,LDA,0.6063128685397156,4
5,CondICA,LDA,0.6026676026676027,5
6,CondICA,LDA,0.6140035906642729,6
7,CondICA,LDA,0.614493836384012,7
8,CondICA,LDA,0.6191348973607038,8
9,CondICA,LDA,0.6278618548700039,9
10,CondICA,RF,0.47716119290298226,0
11,CondICA,RF,0.47368421052631576,1
12,CondICA,RF,0.4472865537504321,2
13,CondICA,RF,0.46112237998647737,3
14,CondICA,RF,0.4595907041276448,4
15,CondICA,RF,0.47034047034047033,5
16,CondICA,RF,0.4768402154398564,6
17,CondICA,RF,0.4650728427344042,7
18,CondICA,RF,0.4527126099706745,8
19,CondICA,RF,0.48389600310438496,9
