,method_name,algo,score,split
0,Original,LDA,0.6372215930539826,0
1,Original,LDA,0.6110310021629416,1
2,Original,LDA,0.6135499481507086,2
3,Original,LDA,0.6173089925625422,3
4,Original,LDA,0.6049254249046132,4
5,Original,LDA,0.6037206037206038,5
6,Original,LDA,0.6125673249551167,6
7,Original,LDA,0.614493836384012,7
8,Original,LDA,0.624266862170088,8
9,Original,LDA,0.629802095459837,9
10,Original,RF,0.4673461683654209,0
11,Original,RF,0.4762076423936554,1
12,Original,RF,0.44866920152091255,2
13,Original,RF,0.4658553076402975,3
14,Original,RF,0.46097814776274715,4
15,Original,RF,0.46893646893646895,5
16,Original,RF,0.47899461400359067,6
17,Original,RF,0.4449010085917071,7
18,Original,RF,0.4501466275659824,8
19,Original,RF,0.4811796662786185,9
