,method_name,algo,score,split
0,Original,LDA,0.8920265780730897,0
1,Original,LDA,0.9526226734348562,1
2,Original,LDA,0.9033333333333333,2
3,Original,LDA,0.9516666666666667,3
4,Original,LDA,0.9270315091210614,4
5,Original,LDA,0.9084745762711864,5
6,Original,LDA,0.9084745762711864,6
7,Original,LDA,0.9269949066213922,7
8,Original,LDA,0.9126050420168067,8
9,Original,LDA,0.9170812603648425,9
10,Original,RF,0.7990033222591362,0
11,Original,RF,0.8798646362098139,1
12,Original,RF,0.7916666666666666,2
13,Original,RF,0.8816666666666667,3
14,Original,RF,0.8258706467661692,4
15,Original,RF,0.8491525423728814,5
16,Original,RF,0.8254237288135593,6
17,Original,RF,0.8455008488964346,7
18,Original,RF,0.8302521008403362,8
19,Original,RF,0.8291873963515755,9
