,method_name,algo,score,split
0,Original,LDA,0.9241573033707865,0
1,Original,LDA,0.9243697478991597,1
2,Original,LDA,0.9303621169916435,2
3,Original,LDA,0.9157303370786517,3
4,Original,LDA,0.9301675977653632,4
5,Original,LDA,0.9411764705882353,5
6,Original,LDA,0.9299719887955182,6
7,Original,LDA,0.946927374301676,7
8,Original,LDA,0.9385474860335196,8
9,Original,LDA,0.9387186629526463,9
10,Original,RF,0.8398876404494382,0
11,Original,RF,0.8011204481792717,1
12,Original,RF,0.8022284122562674,2
13,Original,RF,0.797752808988764,3
14,Original,RF,0.8240223463687151,4
15,Original,RF,0.8403361344537815,5
16,Original,RF,0.8235294117647058,6
17,Original,RF,0.7988826815642458,7
18,Original,RF,0.8100558659217877,8
19,Original,RF,0.807799442896936,9
