,method_name,algo,score,split
0,CondICA,LDA,0.9457142857142857,0
1,CondICA,LDA,0.8911764705882353,1
2,CondICA,LDA,0.938953488372093,2
3,CondICA,LDA,0.8731563421828908,3
4,CondICA,LDA,0.962536023054755,4
5,CondICA,LDA,0.9169139465875371,5
6,CondICA,LDA,0.8757396449704142,6
7,CondICA,LDA,0.9520958083832335,7
8,CondICA,LDA,0.9404761904761905,8
9,CondICA,LDA,0.9678362573099415,9
10,CondICA,RF,0.9,0
11,CondICA,RF,0.8323529411764706,1
12,CondICA,RF,0.877906976744186,2
13,CondICA,RF,0.8436578171091446,3
14,CondICA,RF,0.9077809798270894,4
15,CondICA,RF,0.857566765578635,5
16,CondICA,RF,0.8284023668639053,6
17,CondICA,RF,0.9161676646706587,7
18,CondICA,RF,0.8720238095238095,8
19,CondICA,RF,0.9181286549707602,9
