,method_name,algo,score,split
0,Original,LDA,0.9514285714285714,0
1,Original,LDA,0.9117647058823529,1
2,Original,LDA,0.9418604651162791,2
3,Original,LDA,0.887905604719764,3
4,Original,LDA,0.9769452449567724,4
5,Original,LDA,0.913946587537092,5
6,Original,LDA,0.9023668639053254,6
7,Original,LDA,0.9580838323353293,7
8,Original,LDA,0.9553571428571429,8
9,Original,LDA,0.9590643274853801,9
10,Original,RF,0.9,0
11,Original,RF,0.8352941176470589,1
12,Original,RF,0.8924418604651163,2
13,Original,RF,0.8407079646017699,3
14,Original,RF,0.8876080691642652,4
15,Original,RF,0.8753709198813057,5
16,Original,RF,0.8224852071005917,6
17,Original,RF,0.9131736526946108,7
18,Original,RF,0.8898809523809523,8
19,Original,RF,0.8801169590643275,9
