,method_name,algo,score,split
0,Original,LDA,0.9056483488461048,0
1,Original,LDA,0.9030983042203239,1
2,Original,LDA,0.900803264057121,2
3,Original,LDA,0.9046283309957924,3
4,Original,LDA,0.9052658421522377,4
5,Original,LDA,0.9054570954991712,5
6,Original,LDA,0.9030345531046793,6
7,Original,LDA,0.9009945174040546,7
8,Original,LDA,0.9060946066556165,8
9,Original,LDA,0.9041183220706362,9
10,Original,RF,0.7349866122657146,0
11,Original,RF,0.7339665944154022,1
12,Original,RF,0.7276552339665944,2
13,Original,RF,0.7347953589187811,3
14,Original,RF,0.7309702919801097,4
15,Original,RF,0.7390666836669642,5
16,Original,RF,0.7342215988779803,6
17,Original,RF,0.7349866122657146,7
18,Original,RF,0.7286115007012622,8
19,Original,RF,0.7354966211908709,9
