,method_name,algo,score,split
0,CondICA,LDA,0.8960674157303371,0
1,CondICA,LDA,0.9159663865546218,1
2,CondICA,LDA,0.9136490250696379,2
3,CondICA,LDA,0.901685393258427,3
4,CondICA,LDA,0.9245810055865922,4
5,CondICA,LDA,0.927170868347339,5
6,CondICA,LDA,0.9047619047619048,6
7,CondICA,LDA,0.9217877094972067,7
8,CondICA,LDA,0.9078212290502793,8
9,CondICA,LDA,0.9220055710306406,9
10,CondICA,RF,0.8398876404494382,0
11,CondICA,RF,0.773109243697479,1
12,CondICA,RF,0.7938718662952646,2
13,CondICA,RF,0.7752808988764045,3
14,CondICA,RF,0.8240223463687151,4
15,CondICA,RF,0.8235294117647058,5
16,CondICA,RF,0.7955182072829131,6
17,CondICA,RF,0.8240223463687151,7
18,CondICA,RF,0.7849162011173184,8
19,CondICA,RF,0.841225626740947,9
